Seed,Cost,Gamma,Acc,Sen,Spe,MCC,F1,AUC
4303,1,0.0625,0.846153846,0.876923077,0.769230769,0.632455532,0.890625,0.823076923
4321,32,0.0625,0.813186813,0.830769231,0.769230769,0.571923749,0.864,0.8
123,1,0.0625,0.846153846,0.876923077,0.769230769,0.632455532,0.890625,0.823076923
1234,32,0.0625,0.813186813,0.830769231,0.769230769,0.571923749,0.864,0.8
131,1,0.125,0.857142857,0.892307692,0.769230769,0.654224166,0.899224806,0.830769231
689,2,0.03125,0.857142857,0.876923077,0.807692308,0.663735678,0.897637795,0.842307692
320,1,0.03125,0.857142857,0.876923077,0.807692308,0.663735678,0.897637795,0.842307692
420,4,0.125,0.846153846,0.861538462,0.807692308,0.643122506,0.888888889,0.834615385
987,32,0.0625,0.813186813,0.830769231,0.769230769,0.571923749,0.864,0.8
150,1,0.015625,0.868131868,0.892307692,0.807692308,0.68516016,0.90625,0.85
489,4,0.03125,0.846153846,0.876923077,0.769230769,0.632455532,0.890625,0.823076923
143,1,0.03125,0.857142857,0.876923077,0.807692308,0.663735678,0.897637795,0.842307692
323,16,0.0625,0.824175824,0.830769231,0.807692308,0.604055854,0.870967742,0.819230769
550,256,0.00390625,0.846153846,0.876923077,0.769230769,0.632455532,0.890625,0.823076923
740,1,0.125,0.857142857,0.892307692,0.769230769,0.654224166,0.899224806,0.830769231
430,8,0.125,0.824175824,0.846153846,0.769230769,0.591377017,0.873015873,0.807692308
303,16,0.125,0.802197802,0.846153846,0.692307692,0.527046277,0.859375,0.769230769
456,1,0.125,0.857142857,0.892307692,0.769230769,0.654224166,0.899224806,0.830769231
970,32,0.125,0.791208791,0.830769231,0.692307692,0.507123889,0.850393701,0.761538462
880,32,0.0625,0.813186813,0.830769231,0.769230769,0.571923749,0.864,0.8
