,0,1,Overall,var,Variables
1,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,67
2,9.135150566,9.135150566,9.135150566,Atypical,67
3,7.853764265,7.853764265,7.853764265,Nonanginal,67
4,6.565996544,6.565996544,6.565996544,Age,67
5,6.165122968,6.165122968,6.165122968,VHD.Severe,67
6,5.416704415,5.416704415,5.416704415,Region.RWMA.0,67
7,5.181808453,5.181808453,5.181808453,EF.TTE,67
8,5.055606706,5.055606706,5.055606706,HTN,67
9,4.042073909,4.042073909,4.042073909,Region.RWMA.2,67
10,3.439454602,3.439454602,3.439454602,Tinversion,67
11,2.687264454,2.687264454,2.687264454,BP,67
12,2.304806688,2.304806688,2.304806688,ESR,67
13,2.217514576,2.217514576,2.217514576,DM,67
14,2.154845283,2.154845283,2.154845283,K,67
15,2.120424167,2.120424167,2.120424167,FBS,67
16,1.996738499,1.996738499,1.996738499,Q.Wave,67
17,1.982718488,1.982718488,1.982718488,Current.Smoker,67
18,1.821750693,1.821750693,1.821750693,CR,67
19,1.604431481,1.604431481,1.604431481,TG,67
20,1.454070747,1.454070747,1.454070747,Lymph,67
21,1.447875503,1.447875503,1.447875503,Sex,67
22,1.231742786,1.231742786,1.231742786,HDL,67
23,0.863761026,0.863761026,0.863761026,Na,67
24,0.834235236,0.834235236,0.834235236,Diastolic.Murmur,67
25,0.685540804,0.685540804,0.685540804,FH,67
26,0.631753362,0.631753362,0.631753362,PR,67
27,0.603877323,0.603877323,0.603877323,St.Elevation,67
28,0.583019346,0.583019346,0.583019346,Poor.R.Progression,67
29,0.563808367,0.563808367,0.563808367,Length,67
30,0.383048651,0.383048651,0.383048651,Neut,67
31,0.37653424,0.37653424,0.37653424,St.Depression,67
32,0.344712441,0.344712441,0.344712441,DLP,67
33,0.342596358,0.342596358,0.342596358,BBB.N,67
34,0.291452426,0.291452426,0.291452426,Function.Class.2,67
35,0.232007233,0.232007233,0.232007233,Function.Class.0,67
36,0.01450894,0.01450894,0.01450894,Obesity,67
37,0,0,0,CHF,67
38,0,0,0,Function.Class.1,67
39,0,0,0,Exertional.CP,67
40,0,0,0,LowTH.Ang,67
41,0,0,0,Region.RWMA.3,67
42,-0.007755592,-0.007755592,-0.007755592,LVH,67
43,-0.023956017,-0.023956017,-0.023956017,CRF,67
44,-0.047172372,-0.047172372,-0.047172372,BBB.LBBB,67
45,-0.055178073,-0.055178073,-0.055178073,Weight,67
46,-0.066414475,-0.066414475,-0.066414475,Lung.rales,67
47,-0.083796505,-0.083796505,-0.083796505,Dyspnea,67
48,-0.10283545,-0.10283545,-0.10283545,Thyroid.Disease,67
49,-0.11190532,-0.11190532,-0.11190532,EX.Smoker,67
50,-0.206663518,-0.206663518,-0.206663518,Region.RWMA.4,67
51,-0.420345746,-0.420345746,-0.420345746,BUN,67
52,-0.500500751,-0.500500751,-0.500500751,Weak.Peripheral.Pulse,67
53,-0.507108938,-0.507108938,-0.507108938,Airway.disease,67
54,-0.534746237,-0.534746237,-0.534746237,HB,67
55,-0.577593585,-0.577593585,-0.577593585,Systolic.Murmur,67
56,-0.676023653,-0.676023653,-0.676023653,PLT,67
57,-0.882783234,-0.882783234,-0.882783234,BMI,67
58,-0.935612505,-0.935612505,-0.935612505,VHD.moderate,67
59,-0.958296288,-0.958296288,-0.958296288,VHD.mild,67
60,-0.980763209,-0.980763209,-0.980763209,LDL,67
61,-1.001001503,-1.001001503,-1.001001503,CVA,67
62,-1.174857672,-1.174857672,-1.174857672,BBB.RBBB,67
63,-1.180440139,-1.180440139,-1.180440139,Edema,67
64,-1.502190321,-1.502190321,-1.502190321,Function.Class.3,67
65,-1.538857905,-1.538857905,-1.538857905,VHD.N,67
66,-1.564581121,-1.564581121,-1.564581121,Region.RWMA.1,67
67,-2.659864926,-2.659864926,-2.659864926,WBC,67
68,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,21
69,9.135150566,9.135150566,9.135150566,Atypical,21
70,7.853764265,7.853764265,7.853764265,Nonanginal,21
71,6.565996544,6.565996544,6.565996544,Age,21
72,6.165122968,6.165122968,6.165122968,VHD.Severe,21
73,5.416704415,5.416704415,5.416704415,Region.RWMA.0,21
74,5.181808453,5.181808453,5.181808453,EF.TTE,21
75,5.055606706,5.055606706,5.055606706,HTN,21
76,4.042073909,4.042073909,4.042073909,Region.RWMA.2,21
77,3.439454602,3.439454602,3.439454602,Tinversion,21
78,2.687264454,2.687264454,2.687264454,BP,21
79,2.304806688,2.304806688,2.304806688,ESR,21
80,2.217514576,2.217514576,2.217514576,DM,21
81,2.154845283,2.154845283,2.154845283,K,21
82,2.120424167,2.120424167,2.120424167,FBS,21
83,1.996738499,1.996738499,1.996738499,Q.Wave,21
84,1.982718488,1.982718488,1.982718488,Current.Smoker,21
85,1.821750693,1.821750693,1.821750693,CR,21
86,1.604431481,1.604431481,1.604431481,TG,21
87,1.454070747,1.454070747,1.454070747,Lymph,21
88,1.447875503,1.447875503,1.447875503,Sex,21
89,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,20
90,9.135150566,9.135150566,9.135150566,Atypical,20
91,7.853764265,7.853764265,7.853764265,Nonanginal,20
92,6.565996544,6.565996544,6.565996544,Age,20
93,6.165122968,6.165122968,6.165122968,VHD.Severe,20
94,5.416704415,5.416704415,5.416704415,Region.RWMA.0,20
95,5.181808453,5.181808453,5.181808453,EF.TTE,20
96,5.055606706,5.055606706,5.055606706,HTN,20
97,4.042073909,4.042073909,4.042073909,Region.RWMA.2,20
98,3.439454602,3.439454602,3.439454602,Tinversion,20
99,2.687264454,2.687264454,2.687264454,BP,20
100,2.304806688,2.304806688,2.304806688,ESR,20
101,2.217514576,2.217514576,2.217514576,DM,20
102,2.154845283,2.154845283,2.154845283,K,20
103,2.120424167,2.120424167,2.120424167,FBS,20
104,1.996738499,1.996738499,1.996738499,Q.Wave,20
105,1.982718488,1.982718488,1.982718488,Current.Smoker,20
106,1.821750693,1.821750693,1.821750693,CR,20
107,1.604431481,1.604431481,1.604431481,TG,20
108,1.454070747,1.454070747,1.454070747,Lymph,20
109,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,19
110,9.135150566,9.135150566,9.135150566,Atypical,19
111,7.853764265,7.853764265,7.853764265,Nonanginal,19
112,6.565996544,6.565996544,6.565996544,Age,19
113,6.165122968,6.165122968,6.165122968,VHD.Severe,19
114,5.416704415,5.416704415,5.416704415,Region.RWMA.0,19
115,5.181808453,5.181808453,5.181808453,EF.TTE,19
116,5.055606706,5.055606706,5.055606706,HTN,19
117,4.042073909,4.042073909,4.042073909,Region.RWMA.2,19
118,3.439454602,3.439454602,3.439454602,Tinversion,19
119,2.687264454,2.687264454,2.687264454,BP,19
120,2.304806688,2.304806688,2.304806688,ESR,19
121,2.217514576,2.217514576,2.217514576,DM,19
122,2.154845283,2.154845283,2.154845283,K,19
123,2.120424167,2.120424167,2.120424167,FBS,19
124,1.996738499,1.996738499,1.996738499,Q.Wave,19
125,1.982718488,1.982718488,1.982718488,Current.Smoker,19
126,1.821750693,1.821750693,1.821750693,CR,19
127,1.604431481,1.604431481,1.604431481,TG,19
128,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,18
129,9.135150566,9.135150566,9.135150566,Atypical,18
130,7.853764265,7.853764265,7.853764265,Nonanginal,18
131,6.565996544,6.565996544,6.565996544,Age,18
132,6.165122968,6.165122968,6.165122968,VHD.Severe,18
133,5.416704415,5.416704415,5.416704415,Region.RWMA.0,18
134,5.181808453,5.181808453,5.181808453,EF.TTE,18
135,5.055606706,5.055606706,5.055606706,HTN,18
136,4.042073909,4.042073909,4.042073909,Region.RWMA.2,18
137,3.439454602,3.439454602,3.439454602,Tinversion,18
138,2.687264454,2.687264454,2.687264454,BP,18
139,2.304806688,2.304806688,2.304806688,ESR,18
140,2.217514576,2.217514576,2.217514576,DM,18
141,2.154845283,2.154845283,2.154845283,K,18
142,2.120424167,2.120424167,2.120424167,FBS,18
143,1.996738499,1.996738499,1.996738499,Q.Wave,18
144,1.982718488,1.982718488,1.982718488,Current.Smoker,18
145,1.821750693,1.821750693,1.821750693,CR,18
146,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,17
147,9.135150566,9.135150566,9.135150566,Atypical,17
148,7.853764265,7.853764265,7.853764265,Nonanginal,17
149,6.565996544,6.565996544,6.565996544,Age,17
150,6.165122968,6.165122968,6.165122968,VHD.Severe,17
151,5.416704415,5.416704415,5.416704415,Region.RWMA.0,17
152,5.181808453,5.181808453,5.181808453,EF.TTE,17
153,5.055606706,5.055606706,5.055606706,HTN,17
154,4.042073909,4.042073909,4.042073909,Region.RWMA.2,17
155,3.439454602,3.439454602,3.439454602,Tinversion,17
156,2.687264454,2.687264454,2.687264454,BP,17
157,2.304806688,2.304806688,2.304806688,ESR,17
158,2.217514576,2.217514576,2.217514576,DM,17
159,2.154845283,2.154845283,2.154845283,K,17
160,2.120424167,2.120424167,2.120424167,FBS,17
161,1.996738499,1.996738499,1.996738499,Q.Wave,17
162,1.982718488,1.982718488,1.982718488,Current.Smoker,17
163,15.06098556,15.06098556,15.06098556,Typical.Chest.Pain,16
164,9.135150566,9.135150566,9.135150566,Atypical,16
165,7.853764265,7.853764265,7.853764265,Nonanginal,16
166,6.565996544,6.565996544,6.565996544,Age,16
167,6.165122968,6.165122968,6.165122968,VHD.Severe,16
168,5.416704415,5.416704415,5.416704415,Region.RWMA.0,16
169,5.181808453,5.181808453,5.181808453,EF.TTE,16
170,5.055606706,5.055606706,5.055606706,HTN,16
171,4.042073909,4.042073909,4.042073909,Region.RWMA.2,16
