 only 20 most important variables shown (out of 66)

                   Overall
Typical.Chest.Pain  22.616
Age                 10.950
TG                   4.574
BMI                  3.632
EF.TTE               3.199
Weight               2.881
LDL                  2.745
Region.RWMA.0        2.590
ESR                  2.581
Length               2.443
K                    2.394
HDL                  2.196
FBS                  1.939
PLT                  1.818
HTN                  1.777
Current.Smoker       1.346
BP                   1.282
Lymph                1.244
Nonanginal           1.241
HB                   1.233
