Seed,Cost,Gamma,Acc,Sen,Spe,MCC,F1,AUC
4303,4,0.0078125,0.846153846,0.892307692,0.730769231,0.623076923,0.892307692,0.811538462
4321,0.25,0.03125,0.879120879,0.953846154,0.692307692,0.692820323,0.918518519,0.823076923
123,2,0.015625,0.835164835,0.876923077,0.730769231,0.600973362,0.88372093,0.803846154
1234,4,0.0078125,0.846153846,0.892307692,0.730769231,0.623076923,0.892307692,0.811538462
131,0.25,0.015625,0.857142857,0.953846154,0.615384615,0.63268665,0.905109489,0.784615385
689,0.25,0.015625,0.857142857,0.953846154,0.615384615,0.63268665,0.905109489,0.784615385
320,1,0.00390625,0.857142857,0.923076923,0.692307692,0.639693021,0.902255639,0.807692308
420,0.25,0.03125,0.879120879,0.953846154,0.692307692,0.692820323,0.918518519,0.823076923
987,1,0.00390625,0.857142857,0.923076923,0.692307692,0.639693021,0.902255639,0.807692308
150,1,0.00390625,0.857142857,0.923076923,0.692307692,0.639693021,0.902255639,0.807692308
489,2,0.015625,0.835164835,0.876923077,0.730769231,0.600973362,0.88372093,0.803846154
143,1,0.00390625,0.857142857,0.923076923,0.692307692,0.639693021,0.902255639,0.807692308
323,0.25,0.03125,0.879120879,0.953846154,0.692307692,0.692820323,0.918518519,0.823076923
550,8,0.00390625,0.857142857,0.907692308,0.730769231,0.646154124,0.900763359,0.819230769
740,8,0.00390625,0.857142857,0.907692308,0.730769231,0.646154124,0.900763359,0.819230769
430,0.25,0.03125,0.879120879,0.953846154,0.692307692,0.692820323,0.918518519,0.823076923
303,8,0.00390625,0.857142857,0.907692308,0.730769231,0.646154124,0.900763359,0.819230769
456,2,0.015625,0.835164835,0.876923077,0.730769231,0.600973362,0.88372093,0.803846154
970,1,0.00390625,0.857142857,0.923076923,0.692307692,0.639693021,0.902255639,0.807692308
880,0.25,0.015625,0.857142857,0.953846154,0.615384615,0.63268665,0.905109489,0.784615385
