Seed,Cost,Gamma,Acc,Sen,Spe,MCC,F1,AUC
143034,16,0.0078125,0.824175824,0.907692308,0.615384615,0.551916054,0.880597015,0.761538462
12345,16,0.015625,0.857142857,0.938461538,0.653846154,0.635085296,0.903703704,0.796153846
4303,32,0.00390625,0.813186813,0.876923077,0.653846154,0.537164271,0.870229008,0.765384615
4321,2,0.00390625,0.857142857,0.907692308,0.730769231,0.646154124,0.900763359,0.819230769
123,32,0.0078125,0.857142857,0.923076923,0.692307692,0.639693021,0.902255639,0.807692308
1234,32,0.0078125,0.857142857,0.923076923,0.692307692,0.639693021,0.902255639,0.807692308
131,16,0.00390625,0.835164835,0.892307692,0.692307692,0.591659198,0.885496183,0.792307692
320,2,0.00390625,0.857142857,0.907692308,0.730769231,0.646154124,0.900763359,0.819230769
987,8,0.00390625,0.857142857,0.876923077,0.807692308,0.663735678,0.897637795,0.842307692
150,16,0.015625,0.857142857,0.938461538,0.653846154,0.635085296,0.903703704,0.796153846
489,2,0.015625,0.846153846,0.907692308,0.692307692,0.61510829,0.893939394,0.8
143,4,0.015625,0.835164835,0.907692308,0.653846154,0.583719882,0.887218045,0.780769231
323,2,0.00390625,0.857142857,0.907692308,0.730769231,0.646154124,0.900763359,0.819230769
550,8,0.0078125,0.835164835,0.907692308,0.653846154,0.583719882,0.887218045,0.780769231
740,32,0.0078125,0.857142857,0.923076923,0.692307692,0.639693021,0.902255639,0.807692308
430,2,0.015625,0.846153846,0.907692308,0.692307692,0.61510829,0.893939394,0.8
303,32,0.0078125,0.857142857,0.923076923,0.692307692,0.639693021,0.902255639,0.807692308
456,32,0.00390625,0.813186813,0.876923077,0.653846154,0.537164271,0.870229008,0.765384615
970,32,0.00390625,0.813186813,0.876923077,0.653846154,0.537164271,0.870229008,0.765384615
880,2,0.00390625,0.857142857,0.907692308,0.730769231,0.646154124,0.900763359,0.819230769
