"","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",131,0.5,0.0078125,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"2",124,0.5,0.03125,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"3",451,0.125,0.03125,0.714285714285714,0.984615384615385,0.0384615384615385,0.0711068194709966,0.831168831168831,0.511538461538462
"4",689,0.5,0.015625,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"5",320,0.5,0.015625,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"6",420,1,0.0078125,0.879120879120879,0.923076923076923,0.769230769230769,0.700649049745371,0.916030534351145,0.846153846153846
"7",987,0.5,0.015625,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"8",150,0.5,0.015625,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"9",489,0.25,0.03125,0.835164835164835,0.938461538461538,0.576923076923077,0.572837913247544,0.89051094890511,0.757692307692308
"10",143,0.25,0.03125,0.835164835164835,0.938461538461538,0.576923076923077,0.572837913247544,0.89051094890511,0.757692307692308
"11",323,0.5,0.0078125,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"12",550,0.5,0.015625,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"13",740,0.5,0.03125,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"14",430,0.5,0.0078125,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"15",303,0.5,0.015625,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"16",264,0.5,0.03125,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"17",456,0.5,0.0078125,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"18",970,0.5,0.03125,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
"19",950,2,0.03125,0.868131868131868,0.876923076923077,0.846153846153846,0.694867994697298,0.904761904761905,0.861538461538462
"20",880,0.5,0.0078125,0.857142857142857,0.923076923076923,0.692307692307692,0.639693021007201,0.902255639097744,0.807692307692308
