Seed,Cost,Gamma,Acc,Sen,Spe,MCC,F1,AUC
12345,0.25,0.03125,0.846153846,0.923076923,0.653846154,0.608730942,0.895522388,0.788461538
4303,16,0.00390625,0.879120879,0.907692308,0.807692308,0.70747497,0.914728682,0.857692308
4321,2,0.03125,0.868131868,0.892307692,0.807692308,0.68516016,0.90625,0.85
123,0.25,0.03125,0.846153846,0.923076923,0.653846154,0.608730942,0.895522388,0.788461538
1234,1,0.03125,0.846153846,0.892307692,0.730769231,0.623076923,0.892307692,0.811538462
131,0.125,0.03125,0.725274725,1,0.038461538,0.166666667,0.838709677,0.519230769
689,1,0.03125,0.846153846,0.892307692,0.730769231,0.623076923,0.892307692,0.811538462
320,0.25,0.03125,0.846153846,0.923076923,0.653846154,0.608730942,0.895522388,0.788461538
987,0.5,0.015625,0.857142857,0.907692308,0.730769231,0.646154124,0.900763359,0.819230769
150,0.25,0.03125,0.846153846,0.923076923,0.653846154,0.608730942,0.895522388,0.788461538
489,32,0.00390625,0.879120879,0.892307692,0.846153846,0.715939608,0.913385827,0.869230769
143,8,0.0078125,0.879120879,0.907692308,0.807692308,0.70747497,0.914728682,0.857692308
323,1,0.00390625,0.879120879,0.938461538,0.730769231,0.69566616,0.917293233,0.834615385
550,32,0.00390625,0.879120879,0.892307692,0.846153846,0.715939608,0.913385827,0.869230769
740,1,0.00390625,0.879120879,0.938461538,0.730769231,0.69566616,0.917293233,0.834615385
430,8,0.0078125,0.879120879,0.907692308,0.807692308,0.70747497,0.914728682,0.857692308
303,64,0.00390625,0.89010989,0.892307692,0.884615385,0.746613484,0.920634921,0.888461538
456,16,0.00390625,0.879120879,0.907692308,0.807692308,0.70747497,0.914728682,0.857692308
970,1,0.00390625,0.879120879,0.938461538,0.730769231,0.69566616,0.917293233,0.834615385
880,0.5,0.0078125,0.868131868,0.953846154,0.653846154,0.662953273,0.911764706,0.803846154
